neighborhood,room_arrangement,house_type,square_meters,price_including_loans,price_per_square_meters,built_in,floor,has_elevator,shape,lot,energy_classification
Pitäjänmäki,"1h, k, kph,vh, ...",apartment,33.5,122000,3642,1988,3/5,True,satisfactory,rented,F-2013
Torkkelinmäki,1h+avok+kph,apartment,24.0,192000,8000,1928,3/8,True,satisfactory,owned,
Kulosaari,1h+kk,apartment,29.0,183000,6310,1979,3/4,True,satisfactory,owned,E-2018
Kamppi,1h+kk+alk.+kh,apartment,29.0,250000,8621,1961,4/7,True,satisfactory,owned,D-2018
Kamppi,1 h+kph,apartment,15.6,182500,11699,1932,6/6,True,good,owned,F-2013
Kontula,1h+avok+kh+parv,apartment,20.0,100500,5025,1966,2/9,True,satisfactory,owned,E-2013
Lauttasaari,1h+kk+kph+alk,apartment,25.0,195500,7820,1945,2/4,False,satisfactory,owned,G-2013
Punavuori,"1h, k, kh",apartment,40.0,280000,7000,1935,3/4,True,satisfactory,owned,
Punavuori,"1h, k, kh",apartment,44.0,325000,7386,1935,3/4,True,good,owned,F-2018
Lauttasaari,"1h, avok, kph, ...",apartment,46.0,318000,6913,2015,1/5,True,good,owned,C-2013
Munkkivuori,1h+kk+kph,apartment,26.5,158000,5962,1958,3/4,False,satisfactory,rented,D-2018
Munkkiniemi,h+kk,apartment,30.0,248000,8267,1954,2/4,False,,owned,F-2013
Malmi,"1h, kk",apartment,38.0,188000,4947,2011,3/6,True,good,owned,
Kallio,1h+kk,apartment,25.0,230000,9200,1962,4/7,True,good,owned,E-2013
Taka-töölö,"1h, kk",apartment,26.5,216000,8151,1940,4/6,True,satisfactory,owned,G-2013
Pasila,"1h, kk, kph",apartment,27.0,165000,6111,1977,5/5,True,good,rented,E
Hermanni,"1h, avok, kph, vh",apartment,30.0,210000,7000,1957,2/6,True,good,rented,E-2007
Pitäjänmäki,"1h,kt",apartment,34.0,226500,6662,2019,8/8,True,good,rented,C-2018
Siltasaari,1h+kk+kph,apartment,34.0,286000,8412,1908,2/4,False,,owned,D-2007
Hietalahti,"1h, kk, parvi, kph",apartment,17.9,205000,11453,1926,3/5,True,good,owned,D-2007
