neighborhood,room_arrangement,house_type,square_meters,price_including_loans,price_per_square_meters,built_in,floor,has_elevator,shape,lot,energy_classification
Lassila,"2h, avok, s, p",apartment,60.5,239000,3950,1982,4/5,True,good,rented,C-2013
Kallio,"2h,k,parveke",apartment,55.0,289700,5267,1973,5/5,True,satisfactory,owned,D-2007
Vallila,"2h, avok, kph, ...",apartment,38.0,305000,8026,1925,4/4,False,good,owned,F-2007
Punavuori,"1-2h, k, parvi,...",apartment,40.0,331000,8275,1914,1/4,False,good,owned,F-2013
Kallio,2h+kph+avokeitt...,apartment,40.5,275000,6790,1927,1/6,True,good,owned,F-2007
Koskela,"2h, kt",apartment,45.0,280000,6222,2021,5/7,True,good,rented,A-2018
Meilahti,"2h, avok, kph",apartment,45.0,320000,7111,1945,4/7,True,good,owned,E-2013
Toukola,"2h, avokeitti..",apartment,49.0,316000,6449,1953,2/2,False,good,rented,F-2013
Sörnäinen,2h+k+s,apartment,61.0,419000,6869,1939,5/8,True,satisfactory,owned,E-2018
Malminkartano,"2-3h, k, kph, s",apartment,62.0,178000,2871,1987,2/5,True,satisfactory,rented,D-2007
Munkkiniemi,2h+avok+alkovi+...,apartment,68.0,440000,6471,1937,6/6,True,good,owned,E-2007
Laajasalo,2h+kk,apartment,44.0,220000,5000,1975,3/3,False,good,owned,F-2013
Vesala,2h+kk,apartment,44.5,135000,3034,1991,3/3,True,good,rented,E-2013
Lauttasaari,"2h, avok, kph, ...",apartment,47.0,377000,8021,2012,3/6,True,good,owned,D-2013
Puotinharju,2h+k+kph+vh+las...,apartment,48.0,163000,3396,1963,2/8,True,good,rented,
Kallio,2h+k,apartment,48.0,335000,6979,1927,6/7,True,good,owned,F-2013
Kulosaari,2h+kk+kph+parveke,apartment,50.0,338000,6760,1960,2/3,True,good,owned,E-2007
Puotila,"2h,k,kh,p",apartment,59.5,190000,3193,1961,3/3,False,satisfactory,rented,F
Lauttasaari,"2h, avok, kph, ...",apartment,59.5,435000,7311,2015,3/5,True,good,owned,C-2013
Kruununhaka,2 h + k ,apartment,66.0,500000,7576,1906,2/6,True,,owned,E-2018
Käpylä,"2h, k, kph, sau...",apartment,76.6,495000,6462,1952,3/3,False,good,rented,E-2018
Kruununhaka,"2h,k, kph, vh",apartment,88.0,690000,7841,1912,3/5,False,satisfactory,owned,F-2017
Hermanni,2h+kk,apartment,37.0,250000,6757,1959,1/4,False,good,rented,E-2007
Tapanila,2h+avok+kph+parv,apartment,43.0,180000,4186,1990,3/3,False,satisfactory,owned,E-2007
Kruununhaka,"2h, kk",apartment,48.0,390000,8125,1908,3/6,True,good,owned,F
Pihlajisto,"2h, k, kph",apartment,50.5,160000,3168,1971,7/7,True,satisfactory,owned,E-2007
Lauttasaari,"2h, k, kph ja p...",apartment,58.5,368000,6291,1962,2/3,False,good,owned,F-2013
Alppikylä,1h+avok+alkovi+...,rowhouse,38.0,183000,4816,2018,1/1,False,good,rented,C
Malmi,2 h+k,apartment,51.0,158000,3098,1980,4/4,False,satisfactory,owned,F-2013
Malminkartano,"2h,k,kph,piha",apartment,63.5,165000,2598,1985,1/3,False,satisfactory,rented,F-2013
Punavuori,2h+k+s+vh,apartment,66.0,495000,7500,2001,5/8,True,good,owned,E-2007
Kallio,"2-3h, avok, sau...",apartment,74.5,659000,8846,1894,4/5,True,good,owned,D-2018
Sörnäinen,2 h+tupak.+las....,apartment,50.0,313000,6260,1962,6/8,True,satisfactory,owned,G-2013
Viikinmäki,"2h, kt (yht.j..",rowhouse,50.5,251700,4984,2021,2/2,True,good,rented,
Kallio,"2h, k, kph",apartment,54.3,360000,6630,1952,4/6,True,good,owned,F-2013
Sörnäinen,"2h,k,parveke",apartment,49.0,335000,6837,1985,4/6,True,good,owned,E-2013
Alppila,"2h, kk",apartment,41.0,289000,7049,1961,2/4,False,good,owned,E-2018
Vuosaari,"2h, kk",apartment,52.5,160000,3048,1965,1/8,False,good,owned,F-2013
Vuosaari,"2h, k, kph, eri...",apartment,61.0,230000,3770,1993,4/5,True,satisfactory,rented,D
Alppila,"2h, kk, kph, r....",apartment,37.0,289000,7811,1947,2/5,True,good,owned,D-2007
Käpylä,2h+ kk,apartment,40.0,258000,6450,1950,1/4,False,good,rented,G-2013
Etelä-haaga,"2h, kk, kph, pa...",apartment,44.0,266000,6045,1960,1/3,False,good,owned,E-2013
Malmi ,2h+k+kph+parv,apartment,52.0,189000,3635,1968,2/4,False,satisfactory,owned,D-2018
Maunula,"2h, k, parv",apartment,55.0,205000,3727,1954,2/3,False,satisfactory,rented,D
Ruskeasuo,2h+kk+kph+p (yj...,apartment,58.5,371371,6348,1948,3/3,False,satisfactory,owned,D-2007
Kannelmäki,"2h, k, kph/wc, ...",apartment,56.0,189000,3375,1976,2/3,False,good,rented,F-2007
Oulunkylä,"2h, k, s, iso l...",apartment,57.0,305000,5351,1985,1/3,False,satisfactory,owned,D-2007
Pikku-huopalahti,"2h, k, kph, s, ...",apartment,61.0,311832,5112,1995,3/3,True,good,rented,E-2013
Lauttasaari,2h+k+vh+kph+las...,apartment,62.0,448000,7226,1959,4/4,True,satisfactory,owned,E-2013
Kontula,2h+k+kph+lasite...,apartment,43.5,146500,3368,1969,3/9,True,satisfactory,owned,G-2013
Puotinharju,"2h, k, lasitett...",apartment,46.0,184000,4000,1962,2/7,True,good,rented,E-2007
Munkkiniemi,"2h, kk, kph, p,...",apartment,49.0,285000,5816,1940,2/4,True,,owned,D-2007
Mellunmäki,"2h, k, kph, sau...",apartment,54.0,225250,4171,2007,5/5,True,good,owned,D-2007
Munkkiniemi,"2 h, k, halli, ...",apartment,63.5,380000,5984,1938,3/8,True,good,owned,F-2013
Pihlajamäki,"2h, kk, rt, kph...",apartment,55.5,169000,3045,1964,3/3,False,good,rented,E-2007
Länsi- pasila,2h+kk,apartment,56.0,270000,4821,1983,1/6,True,good,rented,F-2013
Kruununhaka,"2h, k, kph",apartment,71.0,540000,7606,1892,2/6,True,good,owned,G-2007
Eira,"2h, k, kph, par...",apartment,30.0,370000,12333,1961,4/4,True,good,owned,
Punavuori,2h+saarekkeelli...,apartment,41.0,357000,8707,1961,3/6,True,good,owned,E-2013
Roihuvuori,"2h, k, kph, p (...",apartment,53.0,186000,3509,1965,3/5,True,good,owned,G-2013
Punavuori,"2h,k,s",apartment,58.5,502000,8581,2002,5/7,True,satisfactory,owned,B-2013
Taka-töölö,2 h + kk + kph,apartment,37.7,311000,8249,1939,4/5,True,satisfactory,owned,F-2007
Etu-töölö,"2h, alkovi, kei...",apartment,45.0,405000,9000,1927,3/6,True,good,owned,F-2013
Viikki,"2h, kt, kph",apartment,50.0,245000,4900,2017,4/5,True,good,rented,C-2013
Puotila,"2h, k, kph, par...",apartment,51.0,193000,3784,1960,3/3,False,good,rented,
Vuosaari,2h+k+parveke,apartment,53.5,147000,2748,1965,2/5,True,satisfactory,owned,E-2007
Kallio,"2h, keittiö...",apartment,55.0,378000,6873,1962,6/7,True,good,owned,D-2013
Katajanokka,"1h, k, alk, kph...",apartment,38.0,360000,9474,1909,3/7,True,good,owned,G-2013
Töölö,"2h, avok, kph, vh",apartment,40.0,373000,9325,1937,6/6,True,good,owned,F-2013
Savela,"2h, avok, kph/w...",apartment,43.0,176000,4093,1985,2/2,False,good,owned,E
Myllypuro,2h+k+kph+p (2h+kk),apartment,46.5,155000,3333,1965,1/4,True,satisfactory,rented,F-2013
Herttoniemi,2h+kk+ranskalai...,apartment,48.0,187000,3896,1956,2/4,False,satisfactory,rented,G-2013
Munkkivuori,"2 h, avok, kph,...",apartment,50.0,297000,5940,1958,4/4,False,good,owned,D-2007
Hakaniemi,2h+alk+k+kph,apartment,52.0,335000,6442,1938,1/7,True,satisfactory,owned,E-2013
Vallila,"2h, kk, kph, pa...",apartment,52.5,266500,5076,1966,2/3,False,good,rented,G-2013
Kruununhaka,2h + k,apartment,54.0,460000,8519,1909,5/7,True,good,owned,D-2007
Pohjois-haaga,2h+k+kph+p,apartment,54.5,272000,4991,1955,1/3,False,good,owned,E-2007
Merihaka,"2h, k, lasitett...",apartment,60.0,290000,4833,1979,2/8,True,,owned,D-2018
Munkkiniemi,2h+k,apartment,69.0,385000,5580,1938,3/6,True,,owned,E-2013
Kamppi,"Oh, avok., mh, ...",apartment,90.0,1000000,11111,1890,2/6,True,good,owned,
Niemenmäki,"2h, avok, kph, ...",apartment,42.5,275100,6473,1962,-1/7,True,good,rented,E-2007
Viikki,2h+kk+s+p,apartment,53.0,263410,4970,2014,3/4,True,good,rented,B-2018
Kurkimäki,"2h, avok, kph, ...",apartment,55.5,243000,4378,2019,2/2,False,good,owned,C
Malminkartano,2h+k+s+terassi,apartment,58.5,205000,3504,1986,4/4,False,good,rented,E-2018
Tapaninkylä,2h+k+s,rowhouse,58.5,222000,3795,1990,1/1,False,satisfactory,owned,F-2007
Myllypuro,"2h, k,kph, lasi...",apartment,59.0,175000,2966,1977,2/5,True,good,rented,D-2007
Vallila,"2h, avok, kph, ...",apartment,41.5,270000,6506,1938,1/5,False,good,owned,F-2013
Kulosaari,2h+kk,apartment,43.0,272000,6326,1960,3/4,False,good,owned,E-2007
Munkkivuori,2h+kk+kph+p,apartment,43.2,256000,5926,1957,5/8,True,satisfactory,rented,E-2007
Alppila,2h+k+wc/kph+vh+...,apartment,49.5,315000,6364,1969,1/4,True,satisfactory,owned,E-2013
Alppiharju,"2h, avok, kph",apartment,50.0,357000,7140,1939,5/6,True,good,owned,F-2013
Tapaninkylä,2h+k+terassi,rowhouse,50.5,119000,2356,1964,1/1,False,satisfactory,owned,
Pohjois-haaga,2h+k+kph+parveke,apartment,51.7,275000,5319,1954,4/4,False,satisfactory,owned,E-2013
Munkkivuori,"2h, k, kph, las...",apartment,53.0,300000,5660,1958,1/5,True,good,owned,F-2007
Vallila,"2h, avokeitti..",apartment,56.0,220000,3929,1928,1/5,True,good,owned,D-2007
Koskela,2h+k,apartment,57.0,191275,3356,1972,1/6,True,good,rented,F-2013
Ala-malmi,"2h, k, kph, ter...",apartment,57.5,158000,2748,1985,1/3,True,satisfactory,rented,D-2013
Kallio,2h+kk+kh,apartment,58.0,415000,7155,1938,7/8,True,good,owned,
Länsi-pasila,"2h, k, kph, s, p",apartment,64.0,264000,4125,1984,5/6,True,,rented,F-2013
Punavuori,2h+k+ kph ja al...,apartment,79.0,550000,6962,1939,1/7,True,satisfactory,owned,F-2013
Pitäjänmäki,2h+k,apartment,52.0,170000,3269,1988,3/5,True,satisfactory,rented,F-2013
Laajasalo,2h+k,apartment,52.5,182000,3467,1971,3/3,True,satisfactory,owned,E-2007
Heikinlaakso,"2h, k, kph, s, ...",rowhouse,52.5,195000,3714,1983,1/1,False,good,owned,E-2007
Kontula,"2h, k, kph, las...",apartment,53.5,105000,1963,1966,5/5,True,satisfactory,owned,G-2013
Pihlajisto,"2h, k, kph, las...",apartment,57.5,148000,2574,1974,6/9,True,good,owned,F
Lauttasaari,"2 h, avok, kph,...",apartment,58.5,310000,5299,1989,2/5,True,good,owned,E-2013
Punavuori,"2h, k, kph, s",apartment,61.5,550000,8943,1930,5/5,True,good,owned,E-2007
Munkkiniemi,2h+halli+k+kph+wc,apartment,70.0,505000,7214,1939,6/6,True,good,owned,E-2013
Viikinmäki,"2 h, avokeitti&...",apartment,39.0,217134,5568,2021,3/4,True,good,rented,C-2013
Alppikylä,2h+k+kph+piha,rowhouse,53.0,228000,4302,2016,1/2,False,good,rented,C-2013
Kruunuvuorenranta,"2h, kt, rt, kph...",apartment,45.0,289000,6422,2022,5/7,True,good,rented,B-2018
Taka-töölö,2 h + k + kph +...,apartment,58.5,425000,7265,1926,6/6,True,good,owned,E-2013
Suutarila,"2h, k, kph, ter...",apartment,65.0,143000,2200,1983,1/2,False,satisfactory,rented,D-2013
Kruunuvuorenranta,"2h, avok, kph, ...",apartment,81.5,480000,5890,2019,3/6,True,good,rented,C-2013
Punavuori,"1h, k, kph, wc",apartment,43.0,369000,8581,1931,2/5,True,good,owned,D-2018
Maunula,"2h, kk, kph, la...",apartment,44.0,135000,3068,1962,1/4,False,satisfactory,rented,G
Kallio,"2h, k, kph, las...",apartment,45.5,328000,7209,1968,6/6,True,satisfactory,owned,F-2013
Hermanni,2h ja kk,apartment,49.0,343800,7016,1957,3/4,False,good,rented,
Konala,"2h,k, terassi",apartment,50.0,179200,3584,1960,1/3,False,satisfactory,owned,E-2007
Munkkiniemi,"2 h, avok, kph,...",apartment,50.0,370000,7400,1937,2/5,True,good,owned,D-2007
Puotila,2h+k+kph+vh+par...,apartment,50.5,185000,3663,1961,2/3,False,good,rented,
Vuosaari,2h + k + lasite...,apartment,53.0,163000,3075,1965,3/3,True,good,owned,E-2007
Munkkiniemi,2h+kk,apartment,53.5,261000,4879,1992,2/5,True,satisfactory,rented,
Myllypuro,"2h,k",apartment,54.0,190000,3519,1964,1/3,False,satisfactory,rented,D-2007
Kruununhaka,2h+kk+alkovi+kph,apartment,65.0,489000,7523,1909,2/4,False,satisfactory,owned,D-2007
Ullanlinna,"2h, keittiö...",apartment,75.0,745000,9933,1895, ,True,good,owned,F-2013
Meilahti,"2h, avok, kph",apartment,32.0,234000,7313,1945,4/7,True,satisfactory,owned,E-2007
Töölö,2h+kk,apartment,47.0,320000,6809,1939,4/6,True,good,owned,D-2007
Maunula,"2 h, k, kph, vh...",apartment,58.5,215000,3675,1962,3/4,True,satisfactory,rented,E-2013
Oulunkylä,2h+k,apartment,59.5,186000,3126,1979,1/2,False,satisfactory,owned,C-2018
Kannelmäki,"2 h, k, kph, vh...",apartment,60.5,143431,2371,1976,1/4,True,good,rented,E-2007
Alppila,2h+avokeitti...,apartment,35.0,240000,6857,1930,1/5,False,good,owned,E-2007
Tapaninvainio,2h+k+s+piha,apartment,45.5,168000,3692,1987,1/3,False,satisfactory,owned,E-2007
Munkkiniemi,"2h, k, kph",apartment,46.0,296000,6435,1952,1/6,True,good,owned,D-2007
Munkkiniemi,"2h, kk, kph, pa...",apartment,47.0,333000,7085,1954,4/4,True,,owned,E-2007
Honkasuo,"2h, kt",rowhouse,56.5,225500,3991,2021,1/2,False,good,rented,B-2018
Kannelmäki,"2h, k, kph, las...",apartment,63.5,150000,2362,1980,2/3,False,satisfactory,rented,F-2013
Käpylä,2h+k+p,apartment,44.0,267000,6068,1942,2/4,False,satisfactory,rented,G-2013
Kannelmäki,"2h, k, kph, vh,...",apartment,56.5,210000,3717,1985,3/6,True,good,owned,F-2007
Kumpula,"2h, k, kph, las...",apartment,57.0,275000,4825,1987,2/3,False,good,rented,D-2007
Vallila,2h+avok+wc/kph/...,apartment,60.0,275000,4583,1936,1/6,True,good,owned,G-2013
"Haaga, pohjois-haaga",2h+kk,apartment,40.0,231500,5788,1954,2/4,False,satisfactory,rented,F-2013
Honkasuo,"2h, kt",rowhouse,56.5,226300,4005,2021,1/2,False,good,rented,B-2018
Harju,"2h,avok,kh",apartment,60.0,335000,5583,1941,6/6,True,satisfactory,owned,G-2013
Alppikylä,2h+k+vh,apartment,46.0,221817,4822,2021,1/2,False,good,rented,
Toukola,2h+kk+ruok.+kph+vh,apartment,47.0,275000,5851,1927,1/2,False,good,rented,G-2013
Hermanni,"2h, k, kph, par...",apartment,49.0,255000,5204,1959,2/4,False,satisfactory,rented,F-2013
Konala,"2h, k, kph, vh ...",apartment,50.0,182000,3640,1964,1/3,False,good,owned,F-2013
Munkkiniemi,"2h, k, kph, par...",apartment,55.0,345000,6273,1953,1/6,True,satisfactory,owned,F-2018
Lauttasaari,2h+k+kph,apartment,60.8,405000,6661,1954,1/4,False,good,owned,E-2007
Etu-töölö,2h+k+kph,apartment,72.2,450000,6233,1929,3/7,True,satisfactory,owned,E-2018
Meilahti,2 h + kk + kph,apartment,33.5,230000,6866,1946,1/7,True,satisfactory,owned,E-2007
Pohjois-haaga,2h+kk+kph (yj.2...,apartment,41.5,240500,5795,1955,1/3,False,satisfactory,owned,E-2007
Vartiokylä,"2h, k",apartment,46.0,204000,4435,1970,1/2,False,good,owned,
Vallila,"2h, avokeitti..",apartment,49.4,271500,5496,1926,2/5,False,satisfactory,rented,E-2007
Alppiharju,"2h,avok,kh",apartment,51.0,365951,7176,1940,4/7,True,good,owned,F-2013
Laajasalo,2h+k,apartment,52.5,186000,3543,1971,2/3,True,satisfactory,owned,E-2007
Viikki,"2h, k, rt, vh, ...",apartment,59.5,272000,4571,2003,2/5,True,good,owned,F
Lauttasaari,2H+K,apartment,60.0,389000,6483,1970,1/7,True,good,owned,E-2013
Maunula,"2k, k, kph, ty&...",apartment,61.2,268000,4379,1953,1/3,False,good,rented,F-2013
Lauttasaari,"2h, k, kph, s, ...",apartment,64.5,425000,6589,2001,5/8,True,satisfactory,owned,D-2007
Ullanlinna,2h+k+kph+wc,apartment,81.0,500000,6173,1909,2/5,True,,owned,
Hermanni,2h+kk+kph+vh+ra...,apartment,37.0,269000,7270,1959,4/4,False,good,rented,E-2007
Punavuori,"2h, k, kph",apartment,44.8,363000,8103,1936,4/4,False,satisfactory,owned,G-2013
Mellunmäki,2h + k ,apartment,50.0,144000,2880,1971,4/5,True,satisfactory,owned,D-2007
Tapanila,"2 h, k, kh, s, ...",rowhouse,51.0,245000,4804,1987,1/1,False,good,owned,G-2013
Pihlajisto,"2h, k, kph, par...",apartment,53.0,123500,2330,1975,5/7,True,,owned,D-2007
Myllypuro,"2h, k, lasitett...",apartment,55.0,184000,3345,1964,3/4,True,satisfactory,rented,F-2007
Vuosaari,2 h+ k+ s,apartment,58.0,186000,3207,1986,3/5,True,good,rented,C-2007
Kruununhaka,2 h + k,apartment,60.0,610000,10167,1902,3/3,False,good,owned,F
Kivikko,2h+k/rt+kph/s+v...,apartment,62.0,202000,3258,2003,3/5,True,good,rented,D-2007
Herttoniemi,"2h,k, parveke",apartment,49.0,260000,5306,1951,4/4,False,,rented,F-2007
Kontula,"2h,kk",apartment,50.0,107000,2140,1965,6/7,True,satisfactory,rented,G-2013
Mellunmäki,"2h,k, kph, lasi...",apartment,55.0,146000,2655,1974,1/3,False,good,owned,D-2007
Lauttasaari,2h+kk+kph,apartment,55.0,398000,7236,1939,3/5,True,good,owned,F-2013
Meilahti,"2h, avok, kph",apartment,40.0,270000,6750,1946,7/8,True,satisfactory,owned,D-2018
Taka-töölö,"2h, avok, kph",apartment,44.0,345000,7841,1925,5/6,True,satisfactory,owned,D-2007
Ullanlinna,"2h + kk, kph",apartment,49.0,437000,8918,1929,3/5,True,,owned,F-2016
Kallio,2h+kk+kph,apartment,50.0,308000,6160,1938,2/6,True,satisfactory,owned,E-2013
Pihlajisto,"2h, k, kph",apartment,50.5,105000,2079,1971,3/6,True,satisfactory,owned,F
Arabianranta,"2h, kt, kph, s,...",apartment,58.0,360000,6207,2008,3/5,True,good, ,E-2013
Lauttasaari ,2h+k+kph+lasite...,apartment,58.5,364000,6222,1976,2/6,True,good,owned,F-2013
Helsinki,2h+kk+kph,apartment,36.0,262000,7278,1949,1/3,False,good,owned,F-2013
Oulunkylä,"2 h, kt, kh, p ...",apartment,50.0,220000,4400,1955,4/4,True,satisfactory,rented,F-2018
Helsinki,"55 + 35 m2, 2 h...",rowhouse,55.0,278000,5055,1958,2/2,False,satisfactory,owned,C-2018
Kannelmäki,"2h, k, kph, eri...",apartment,54.5,154000,2826,1980,2/4,True,satisfactory,rented,D-2013
Pihlajamäki,"2h, kk, rt, kph...",apartment,55.5,146000,2631,1964,3/3,False,satisfactory,rented,E-2007
Länsi-pasila,2h+k+kattoteras...,apartment,62.0,360000,5806,1985,8/8,True,satisfactory,rented,F-2013
Taka-töölö,"2h,avok,kph,vh",apartment,34.0,339500,9985,1938,7/7,True,good,owned,F-2013
Vallila,"2h, kt, kph, s,...",apartment,43.5,360000,8276,2012,4/6,True,good,owned,E-2013
Kamppi,"2h, avok, alk, kph",apartment,44.5,397000,8921,1928,5/5,True,good,owned,G-2007
Vuosaari,"2h, kk, kph",apartment,47.5,136000,2863,1965,3/3,False,good,owned,F-2013
Kontula,2h+kk,apartment,50.0,107500,2150,1965,2/8,True,satisfactory,rented,G-2013
Pihlajamäki,"2h, kk, rt, vh",apartment,55.5,130000,2342,1964,3/3,False,satisfactory,rented,E-2007
Kallio,"2h, k, kph, las...",apartment,55.5,348000,6270,1967,2/7,True,good,owned,G-2013
Taka-töölö,"2h, kk, alkovi",apartment,56.0,390000,6964,1937,4/6,True,satisfactory,owned,C
Honkasuo,"2h, kt",rowhouse,56.5,225500,3991,2021,1/2,False,good,rented,B-2018
Pihlajamäki,2h+k+kh+WC+p,apartment,60.0,128000,2133,1964,2/3,False,,rented,E-2007
Roihuvuori,2h+kk,apartment,35.0,168000,4800,1955,2/3,False,satisfactory,rented,F-2013
Itäkeskus,2h+kk,apartment,40.5,145000,3580,1981,2/4,True,satisfactory,rented,D-2018
Etelä-haaga,2h+k,apartment,51.0,269000,5275,1966,1/3,False,good,owned,E-2007
Honkasuo,"2h, kt",rowhouse,56.5,224500,3973,2021,1/2,False,good,rented,B-2018
Honkasuo,"2h, kt",rowhouse,56.5,225500,3991,2021,1/2,False,good,rented,B-2018
Pihlajisto,"2h, k",apartment,59.5,148000,2487,1971,2/6,True,good,owned,F
Siltamäki,"2h, k, kh, vh, ...",apartment,67.0,103324,1542,1969,1/2,False,,owned,G-2013
Kannelmäki,"2h, kk, p (yj. ...",apartment,48.0,187000,3896,1999,3/5,True,satisfactory,rented,F-2007
Malmi,"2h, keittiö...",apartment,49.5,145000,2929,1985,4/4,False,good,owned,D-2018
Maunula,2h+k,apartment,51.0,219000,4294,1959,4/4,True,satisfactory,rented,F-2013
Roihuvuori,"2h,kk, ruokailu...",apartment,51.5,198000,3845,1956,3/4,False,satisfactory,rented,
Käpylä,"2h, kk, kh",apartment,38.0,235000,6184,1944,2/4,False,satisfactory,rented,D-2018
Jakomäki,"2h,k,kph,katett...",apartment,53.5,142000,2654,1991,1/3,True,good,rented,D-2007
Laajasalo,2h+k+vh+lasitet...,apartment,60.0,168000,2800,1970,1/3,False,satisfactory,rented,E-2013
Siltamäki,2h+k,apartment,62.0,121369,1958,1971,2/3,False,good,owned,G-2013
Etu-töölö,2h+k,apartment,69.0,534500,7746,1927,5/6,True,satisfactory,owned,F-2013
Etu-töölö,2h+k+kph+wc+alk...,apartment,81.0,570000,7037,1924,2/6,True,good,owned,D-2018
Meri-rastila,"2h, k, kph, las...",apartment,58.5,156000,2667,1991,2/3,False,good,rented,F-2013
Munkkiniemi,2h +k +kh,apartment,63.0,390000,6190,1938,5/6,True,good,owned,E-2018
Aurinkolahti,1 h + tk + s,apartment,47.5,255000,5368,2006,3/6,True,good,owned,E-2013
Niemenmäki,"2h, kk",apartment,40.0,257000,6425,1961,2/9,True,good,owned,E-2018
Herttoniemi,"2h, k, kph, las...",apartment,46.0,260000,5652,1952,1/3,False,good,rented,E-2018
Malmi,"2h,kk,piha",apartment,48.0,145000,3021,1980,1/3,False,good,rented,C-2018
Malmi,2h+k+parveke,apartment,55.5,213000,3838,1968,3/3,True,good,owned,E-2013
Munkkivuori,2 h+k+kph (yht....,apartment,56.3,259000,4600,1957,3/4,False,satisfactory,rented,E-2007
Kamppi,"2h, k, kph, s, ...",apartment,57.0,441600,7747,1989,6/6,True,,owned,E-2007
Lauttasaari ,2h+k+kph+lasite...,apartment,58.0,325000,5603,1974,4/6,True,good,owned,D-2018
Viikinmäki,"2 h, avokeitti&...",apartment,44.0,234696,5334,2021,1/4,True,good,rented,C-2013
Malmi,"2h, k (Yj. 2 h+k)",apartment,57.5,163000,2835,1985,2/6,False,good,rented,D-2007
Maunula,2h+k+kh,apartment,61.0,230000,3770,1953,3/3,False,satisfactory,rented,F-2013
Pihlajisto,"2h, k, kph, p",apartment,59.5,142000,2387,1975,6/7,True,good,owned,D-2007
"Pikku huopalahti, ruskeasuo",2h+kk,apartment,40.0,222000,5550,1989,3/5,True,good,rented,F-2013
Etelä-haaga,2h+k+kph+lasite...,apartment,44.0,276969,6295,1961,2/4,False,good,owned,F-2018
Lauttasaari,"2h, kk",apartment,45.5,290000,6374,1958,1/5,True,satisfactory,owned,D-2007
Etelä-haaga,"2 h, kk, kph, p...",apartment,46.0,249200,5417,1959,4/4,False,satisfactory,owned,F-2013
Lauttasaari,2h+kt+s,apartment,59.0,460000,7797,2015,3/7,True,,owned,B-2018
Ullanlinna,"2h, k, alk, kph...",apartment,79.0,535000,6772,1929,-1/6,True,satisfactory,owned,F-2013
Puotinharju,2h+k+kph+p (2 h...,apartment,35.0,155000,4429,1963,1/8,True,good,rented,E-2007
Meilahti,"2h, avok, kph, ...",apartment,38.0,280000,7368,1945,6/7,True,satisfactory,owned,F-2013
Mellunmäki,"2h, k, kph, vh, p",apartment,55.5,125000,2252,1975,1/3,False,satisfactory,owned,E-2007
Punavuori,"1-2h, kk",apartment,37.8,306000,8095,1927,1/5,True,,owned,F-2013
Pasila,2h+kt,apartment,45.0,267600,5947,2021,8/8,True,good,rented,B-2018
Malminkartano,"2h, avokeitti..",apartment,50.0,150000,3000,1985,3/4,False,satisfactory,rented,E-2007
Katajanokka,2h+k+kph,apartment,52.0,285000,5481,1982,3/3,True,satisfactory,rented,G-2013
Viikinmäki,"2 h, avokeitti&...",apartment,52.5,266506,5076,2021,2/4,True,good,rented,C-2013
Vuosaari,2h + k +  las. ...,apartment,53.5,147000,2748,1965,1/3,False,satisfactory,owned,F-2013
Tapaninvainio,"2h, k, s. parv.",apartment,54.0,157000,2907,1987,2/2,False,satisfactory,owned,E-2007
Malmi,2h+k+rt+parv,apartment,56.5,184000,3257,1983,2/3,False,satisfactory,owned,G-2007
Suutarila,"2h,k, kph, p",apartment,58.5,159000,2718,1982,2/3,False,good,owned,F-2013
Lehtisaari,2h+kt+parveke,apartment,44.0,250000,5682,2013,3/4,True,good,rented,B-2007
Konala,2h+k+kph+lasite...,apartment,49.0,158000,3224,1970,1/4,True,good,owned,G-2013
Ullanlinna,2h+k+kph+vh,apartment,54.5,428000,7853,1953,2/8,True,good,owned,F-2007
Munkkiniemi,"2h, avok, kph, p",apartment,57.5,355000,6174,1936,2/6,True,satisfactory,owned,F-2013
Suurmetsä,"2h,k,kph,lasite...",apartment,63.0,110000,1746,1974,2/3,True,satisfactory,rented,
Vuosaari,"2h, k, kph, eri...",apartment,79.0,203000,2570,1966,6/8,True,satisfactory,owned,E-2018
Myllypuro,2h+k+p,apartment,59.0,135000,2288,1977,1/5,True,,rented,D-2013
Vallila,2h+k+p,apartment,59.0,288000,4881,1966,3/3,False,satisfactory,rented,G-2013
Kallio,"k/oh, mh, kh/wc...",apartment,33.0,253000,7667,1937,6/7,True,good,owned,E-2018
Kallio,2h+kk,apartment,37.0,243000,6568,1961,6/8,True,satisfactory,owned,C-2018
Koskela,"2h, avok, khh, p",apartment,47.5,288000,6063,2021,4/7,True,good,rented,A-2018
Tapaninkylä,"2h, k, s",apartment,50.5,196000,3881,1990,3/3,False,good,owned,E-2007
Pitäjänmäki,"2h,k,kph,vh,parv",apartment,52.0,143000,2750,1988,2/4,True,satisfactory,rented,F-2013
Etu-töölö,2h+kk,apartment,52.0,249000,4788,1921,1/6,False,,owned,D-2018
Alppila,2h+k+kph+parv.,apartment,52.5,341000,6495,1962,6/8,True,satisfactory,owned,E-2007
Kulosaari,2h+avok+kph+s+l...,apartment,59.0,387000,6559,1997,3/3,True,good,owned,D-2013
Harju,2h+rt+ avok.+ k...,apartment,56.0,466000,8321,1911,4/4,False,good,owned,D-2007
"Hakaniemi, näkinpuisto",2h+k+kph+s+tera...,apartment,58.0,375000,6466,1985,3/8,True,satisfactory,owned,E-2013
Meilahti,2h+k+kph (yj. 2...,apartment,65.0,395000,6077,1946,7/7,True,satisfactory,owned,E-2018
