web-scraper-order,web-scraper-start-url,apartment-card-selector,apartment-card-selector-href,osoite,kaupunginosa,kohdenumero,kerros,asuinpinta-ala,tontin-pinta-ala,kokonaispinta-ala,huoneiston-kokoonpano,huoneita,kunto,keittioen-varusteet,parveke,kylpyhuoneen-varusteet,saeilytystila,naekymaet,tulevat-remontit,tehdyt-remontit,sauna,asumistyyppi,palvelut,lisaetiedot,kohde-on,ensiesittelyssae,postitoimipaikka,velaton-hinta,myyntihinta,nelioe-hinta,lunastuspykaelae,rahoitusvastike,hoitovastike,yhtiövastike,vesimaksun-lisaetiedot,muut-kustannukset,lunastettavan-vuokratontin-vastike,vuokratontin-lunastusosuus,uudiskohde,taloyhtioen-nimi,rakennuksen-tyyppi,rakennusvuosi,huoneistojen-lukumaeaerae,liikehuoneistojen-pinta-ala,liikehuoneistojen-lukumaeaerae,rakennuksen-kaeyttoeoenottovuosi,hissi,taloyhtioessae-sauna,rakennusmateriaali,kattomateriaali,kattotyyppi,energialuokka,energiatodistus,tontin-koko,tontin-omistus,kiinteistoenhoito,isaennoeinti,kaavoitustiedot,kaavatilanne,liikenneyhteydet,laemmitys,kunnan-numero,yhteiset-tilat,pintamateriaalit,pinta-alan-laehde,pinta-alojen-lisaetiedot,lisaetietoa-vapautumisesta,saunan-lisaetiedot,kiinteistoetunnus,laemmituskustannukset,kiinteistoevero,ilmanvaihto,kuntotutkimus,pihan-kuvaus,muut-tilat,lisaetietoja-makuuhuoneen-varusteista,olohuoneen-varusteet,ominaisuudet,puhtaanapito,vesi-ja-jaetevesi,viemaeroeinti,ikkunoiden-suunta,kiinnitykset,vesimaksu,lisaetietoa-taloyhtioestae
"1618852296-203","https://asunnot.oikotie.fi/myytavat-asunnot?pagination=3&locations=%5B%5B335403,4,%22Alppila,%20Helsinki%22%5D,%5B335081,4,%22Arabianranta,%20Helsinki%22%5D,%5B1644,4,%22Eira,%20Helsinki%22%5D,%5B335375,4,%22Etel%C3%A4-Haaga,%20Helsinki%22%5D,%5B1651,4,%22Etu-T%C3%B6%C3%B6l%C3%B6,%20Helsinki%22%5D,%5B1659,4,%22Hermanni,%20Helsinki%22%5D,%5B1681,4,%22Herttoniemi,%20Helsinki%22%5D,%5B6347825,4,%22It%C3%A4-Pasila,%20Helsinki%22%5D,%5B335110,4,%22It%C3%A4keskus,%20Helsinki%22%5D,%5B5695443,4,%22J%C3%A4tk%C3%A4saari,%20Helsinki%22%5D,%5B5695451,4,%22Kalasatama,%20Helsinki%22%5D,%5B1642,4,%22Kamppi,%20Helsinki%22%5D,%5B335093,4,%22Kannelm%C3%A4ki,%20Helsinki%22%5D,%5B5694725,4,%22Keilaniemi,%20Espoo%22%5D,%5B5695469,4,%22Kivihaka,%20Helsinki%22%5D,%5B1680,4,%22Kulosaari,%20Helsinki%22%5D,%5B1662,4,%22Kumpula,%20Helsinki%22%5D,%5B1663,4,%22K%C3%A4pyl%C3%A4,%20Helsinki%22%5D,%5B1656,4,%22Laakso,%20Helsinki%22%5D,%5B335086,4,%22Lassila,%20Helsinki%22%5D,%5B1669,4,%22Lauttasaari,%20Helsinki%22%5D,%5B814,4,%22Lepp%C3%A4vaara,%20Espoo%22%5D,%5B5695491,4,%22L%C3%A4nsi-Pasila,%20Helsinki%22%5D,%5B1676,4,%22Malmi,%20Helsinki%22%5D,%5B335094,4,%22Malminkartano,%20Helsinki%22%5D,%5B1653,4,%22Meilahti,%20Helsinki%22%5D,%5B1668,4,%22Munkkiniemi,%20Helsinki%22%5D,%5B880,4,%22M%C3%A4kkyl%C3%A4,%20Espoo%22%5D,%5B1666,4,%22Oulunkyl%C3%A4,%20Helsinki%22%5D,%5B335077,4,%22Pikku%20Huopalahti,%20Helsinki%22%5D,%5B1684,4,%22Pit%C3%A4j%C3%A4nm%C3%A4ki,%20Helsinki%22%5D,%5B5695519,4,%22Pohjois-Haaga,%20Helsinki%22%5D,%5B1675,4,%22Pukinm%C3%A4ki,%20Helsinki%22%5D,%5B335078,4,%22Ruoholahti,%20Helsinki%22%5D,%5B1654,4,%22Ruskeasuo,%20Helsinki%22%5D,%5B11820681,4,%22Vanha%20Ruskeasuo,%20Helsinki%22%5D,%5B75754,3,%22Siilitie,%20Helsinki%22%5D,%5B11820666,4,%22Sompasaari,%20Helsinki%22%5D,%5B1652,4,%22Taka-T%C3%B6%C3%B6l%C3%B6,%20Helsinki%22%5D,%5B1721,4,%22Tapanila,%20Helsinki%22%5D,%5B789,4,%22Tapiola,%20Espoo%22%5D,%5B1758,4,%22Tikkurila,%20Vantaa%22%5D,%5B1660,4,%22Vallila,%20Helsinki%22%5D%5D&cardType=100&habitationType%5B%5D=1&price%5Bmax%5D=250000&roomCount%5B%5D=2&roomCount%5B%5D=3&buildingType%5B%5D=512&buildingType%5B%5D=64&buildingType%5B%5D=2&buildingType%5B%5D=1&buildingType%5B%5D=256","Kasöörinkatu 2 A
			
				Itä-PasilaHelsinki
			
		
		
			

	
		
	


		
		
	
	
				
			
			
			
			
			
			
			
			
			
			
		

		
			
			
			
		
		
			

			

				
				
				

			
			
		
		
	
	
		
			249 000 €
			
			59,5 m²
			
		
		
			2h+k+kph+las.parv
		
		

			Kerrostalo1974","https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/16099030","Kasöörinkatu 2 A, 00520 Helsinki","Itä-Pasila","null","3 / 7","59,5 m²","null","59,5 m²","2h+k+kph+las.parv","2","Hyvä","Jääkaappipakastin, liesi, liesituuletin, erillisuuni, astianpesukone","Kyllä","null","null","null","Tässä on mahdollisesti vain osa remonteista, tarkasta loput yhtiön papereista:  2021-2022  Parvekeovien ja -ikkunoiden uusimisen suunnittelu ja toteutus, 2021-2022  Putkiston kuntotutkimuksen päivitys,
Kuntoarvio, 2021-2024  Vesikaton peltiosien maalaus","Tässä on mahdollisesti vain osa remonteista, tarkasta loput yhtiön papereista:  1997 Ulkoseinäelementtisaumaus, 2002 Ikkunoiden saneeraustyö, 2002 Lämmönsiirrin, 2003 Parvekkeiden saneeraus, 2009 Julkisivukorjaus sekä molempien talojen huopakatteiden uusinta, 2009 Patteriventtiilien uusiminen, 2009-2010  Huoneistojen porrasovien vaihto, 2010 Porrashuonemaalaus ja saunojen korjaukset, 2011 Pihakanaalin uusinta ja pihan kunnostus, 2012 Jätevedenpumppaamon uusinta ja pihan asfaltointi, 2013 Parvekkeiden paikkamaalauksia, elementtisaumojen korjauksia A-, B- ja C-rapun kohdalla, 2014 Lämpö-, vesi- ja viemärijärjestelmän kuntotutkimus, 2015 Viemäriverkoston painehuuhtelu, 2015 Kylpyhuoneiden lattiakorjauksia (5 hstoa, ei tämä), 2015 Kylpyhuoneiden kuntokartoitus, 2016 Kylpyhuoneiden lattiakorjauksia (4 hstoa, ei tämä), 2017 Lamellitalon saunaosastojen kunnostus, 2017 Pohjaviemäreiden sisäpuolinen saneeraus (sukitus): Toimenpiteellä tavoitellaan putkiston käyttöiän jatkamista 5-10
vuodella edellisestä arviosta (2014 + 5 vuotta), 2017 Kylpyhuoneiden lattiakorjauksia, 2018 Hissien uusiminen, 2018 Kylpyhuoneiden lattiakorjauksia (4 hstoa, ei tämä), 2018 Päiväkodin ilmanvaihtokanavien nuohous & säätö, 2018 Pesulan lattiapinnoitteen uusiminen, 2019 asuntoparvekkeiden kunnostaminen paikkakorjausmenetelmällä (korjaustoimet kohdistettu vain vauriokohtiin)
mukaan, 2020-2021  Lämmityskeskuksen uusiminen osana LTO-projektia, 2020-2021  Lämmöntalteenottojärjestelmän asennus: Kustannusarvio on 320 000,00 €. Hankkeeseen otettu 160.000€ hoitolaina, jota ei ole tarkoitus jakaa osakkaille.","Ei","Omistus","null","A) Kunnossapitovastuu:  Osakkeenomistajan  on pidettävä kunnossa sähköjohtojen huoneiston sisäjohdot, kun taas nousujohto mittaritaulu mukaanluettuna on yhtiön kunnossapidettävä. Osakkeenomistajan on pidettävä kunnossa huoneistokohtaiset parvekelasitukset ja vastattava niiden korjaamisesta ja niistä mahdollisesti aiheutuvista muista kustannuksista. B)  Lämmöntalteenottolaitteiston osarahoitukseksi nostettu 160.000€ hoitolaina, jota ei ole jaettu osakkaille velkaosuuksiksi. Saldo per 23.3.2021:  152.000,00€. Maksuaika 10 vuotta, lyhennysohjelman mukainen päättyminen 17.6.2030. -","Osakehuoneisto","null","Helsinki","249 000 €","242 410,57 €","4 184,87 € / m2","Ei lunastusoikeutta","177,64 € / kk","291,55 € / kk","null","null","Vesivastike 21.00 €/hlö/kk","null","null","Ei","Asunto Oy Helsingin Vislauskuja 5","Kerrostalo","1974","133","null","null","null","Kyllä","Kyllä","Betoni","Huopa","Tasa","E / 2007","null","null","Vuokralla","null","Karhupuiston Isännöinti Oy","Asemakaava, Helsingin kaupunki. Kts. ajantasainen kaavatilanne; kartta.hel.fi -> aineistot -> kaavoitus. Lähistöllä vireillä mm. ""Aleksis Kiven katu 49"", 12651: Toimistorakennusten korttelialue muutetaan liikerakennusten korttelialueeksi. Rakennusaloja muutetaan.","Asemakaava, Helsingin kaupunki. Kts. ajantasainen kaavatilanne; kartta.hel.fi -> aineistot -> kaavoitus. Lähistöllä vireillä mm. ""Aleksis Kiven katu 49"", 12651: Toimistorakennusten korttelialue muutetaan liikerakennusten korttelialueeksi. Rakennusaloja muutetaan.","null","Kaukolämpö","null","Kellarikomerot, kylmäsäilytystilat, sauna, ulkoiluvälinevarasto, uima-allas (tornitalossa), ullakko ja pesutupa, vaunuvarasto (B-prs)","Laminaatti","null","null","Sopimuksen mukaan","null","null","null","null","Koneellinen poisto","null","null","null","null","null","null","null","null","null","null","null","null","null"
"1618852001-103","https://asunnot.oikotie.fi/myytavat-asunnot?pagination=7&locations=%5B%5B335403,4,%22Alppila,%20Helsinki%22%5D,%5B335081,4,%22Arabianranta,%20Helsinki%22%5D,%5B1644,4,%22Eira,%20Helsinki%22%5D,%5B335375,4,%22Etel%C3%A4-Haaga,%20Helsinki%22%5D,%5B1651,4,%22Etu-T%C3%B6%C3%B6l%C3%B6,%20Helsinki%22%5D,%5B1659,4,%22Hermanni,%20Helsinki%22%5D,%5B1681,4,%22Herttoniemi,%20Helsinki%22%5D,%5B6347825,4,%22It%C3%A4-Pasila,%20Helsinki%22%5D,%5B335110,4,%22It%C3%A4keskus,%20Helsinki%22%5D,%5B5695443,4,%22J%C3%A4tk%C3%A4saari,%20Helsinki%22%5D,%5B5695451,4,%22Kalasatama,%20Helsinki%22%5D,%5B1642,4,%22Kamppi,%20Helsinki%22%5D,%5B335093,4,%22Kannelm%C3%A4ki,%20Helsinki%22%5D,%5B5694725,4,%22Keilaniemi,%20Espoo%22%5D,%5B5695469,4,%22Kivihaka,%20Helsinki%22%5D,%5B1680,4,%22Kulosaari,%20Helsinki%22%5D,%5B1662,4,%22Kumpula,%20Helsinki%22%5D,%5B1663,4,%22K%C3%A4pyl%C3%A4,%20Helsinki%22%5D,%5B1656,4,%22Laakso,%20Helsinki%22%5D,%5B335086,4,%22Lassila,%20Helsinki%22%5D,%5B1669,4,%22Lauttasaari,%20Helsinki%22%5D,%5B814,4,%22Lepp%C3%A4vaara,%20Espoo%22%5D,%5B5695491,4,%22L%C3%A4nsi-Pasila,%20Helsinki%22%5D,%5B1676,4,%22Malmi,%20Helsinki%22%5D,%5B335094,4,%22Malminkartano,%20Helsinki%22%5D,%5B1653,4,%22Meilahti,%20Helsinki%22%5D,%5B1668,4,%22Munkkiniemi,%20Helsinki%22%5D,%5B880,4,%22M%C3%A4kkyl%C3%A4,%20Espoo%22%5D,%5B1666,4,%22Oulunkyl%C3%A4,%20Helsinki%22%5D,%5B335077,4,%22Pikku%20Huopalahti,%20Helsinki%22%5D,%5B1684,4,%22Pit%C3%A4j%C3%A4nm%C3%A4ki,%20Helsinki%22%5D,%5B5695519,4,%22Pohjois-Haaga,%20Helsinki%22%5D,%5B1675,4,%22Pukinm%C3%A4ki,%20Helsinki%22%5D,%5B335078,4,%22Ruoholahti,%20Helsinki%22%5D,%5B1654,4,%22Ruskeasuo,%20Helsinki%22%5D,%5B11820681,4,%22Vanha%20Ruskeasuo,%20Helsinki%22%5D,%5B75754,3,%22Siilitie,%20Helsinki%22%5D,%5B11820666,4,%22Sompasaari,%20Helsinki%22%5D,%5B1652,4,%22Taka-T%C3%B6%C3%B6l%C3%B6,%20Helsinki%22%5D,%5B1721,4,%22Tapanila,%20Helsinki%22%5D,%5B789,4,%22Tapiola,%20Espoo%22%5D,%5B1758,4,%22Tikkurila,%20Vantaa%22%5D,%5B1660,4,%22Vallila,%20Helsinki%22%5D%5D&cardType=100&habitationType%5B%5D=1&price%5Bmax%5D=250000&roomCount%5B%5D=2&roomCount%5B%5D=3&buildingType%5B%5D=512&buildingType%5B%5D=64&buildingType%5B%5D=2&buildingType%5B%5D=1&buildingType%5B%5D=256","Vuorikummuntie 2 B
			
				KonalaHelsinki
			
		
		
			

	
		
	


		
		
	
	
				
			
			
			
			
			
			
			
			
			
			
		

		
			
			
			
		
		
			

			

				
				
				

			
			
		
		
	
	
		
			149 000 €
			
			43 m²
			
		
		
			2h+kk
		
		

			Kerrostalo1967","https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/16051006","Vuorikummuntie 2 B, 00390 Helsinki","Konala","21105368","2 / 3","43 m²","2 330 m²","43 m²","2h+kk","2","Tyydyttävä","Liesi: integroitu liesi. Kylmäsäilytys: jääkaappi.","Kyllä","Varustus: pesukoneliitäntä, wc-istuin, suihku, peilikaappi.","kellarikomero","null","2020 Hybridilinjasaneerauksen suunnittelu 2020-2021 Putkistosaneeraus ja kaukolämpövaihtimen uusiminen 2020-2021 Vesikaton saneeraus, lvi-saneerauksen yhteydessä 2020-2021 Ilmanvaihtohormien nuohous, lvi-saneerauksen yhteydessä 2020-2021 Porrashuoneiden sekä porrash.ikkunoiden maalaus/kunnostus lvi-saneerauksen yhteydessä 2022 Lukoston uusiminen 2022 Ikkunoiden kuntoarvio","2002 Uusittu ikkunoita (8 kpl) 2003 Lukostojen uusiminen 2004 Ilmastointihormien nuohous 2004 Saunan kiuas uusittu 2005 Patteriventiilit uusittu 2007 Suoritettu LVV-kuntotutkimus 2010 Katon maalaus ja vesikourujen uusiminen sisäänkäyntipuolelle 2012 Eteläpuolen parvekelasittomien parvekeikkunoiden ja autotallin ovien huoltomaalaus 2013 Taloyhtiön päätyjen kunnostaminen 2014 Viemärien kuvaus 2014-2015 Putkiston linjasaneerauksen hankesuunnitelma 2016 Putkiston linjasanerauksen ja vesikaton toteutussuunnittelu 2018 Patteriverkoston toimilaitteen ja venttiilin uusinta 2019 Kaukolämmön säätimen uusiminen","Ei","Omistus","null","null","Osakehuoneisto","null","null","149 000 €","141 318,81 €","3 465,12 € / m2","null","19,35 € / kk","215 € / kk","234,35 € / kk","19 EUR/hlö/kk","Sauna: 10 EUR/kk. Parkkipaikan maksut: 10 EUR/kk","null","null","Ei","Asunto Oy Riihipiha","Kerrostalo","1967","18","null","null","null","Ei","Kyllä","muu","Saumattu pelti","Harjakatto","D2018","Kyllä","2 330 m²","Oma","Talonmies. Kiinteistönhoidon lisätiedot: Sivutoiminen huoltomies/Oma","Pääkaupunkiseudun MP-Isännöinti Oy Maarit Sammalisto/Päivi Ilkka Tehtaankatu 14 00140 Helsinki","null","Asemakaava","null","kauko","null","sauna, jäähdytetty kellari, kellarikomero, urheiluvälinevarasto.","Lattia: Keittiössä: laminaatti. Pesutiloissa: laatta. Olohuoneessa: laminaatti. Makuuhuoneessa: laminaatti. Seinät: Keittiössä: maalattu. Pesutiloissa: kaakeli. Olohuoneessa: maalattu, tapetti. Makuuhuoneessa: maalattu.","null","null","heti","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"1618851757-18","https://asunnot.oikotie.fi/myytavat-asunnot?pagination=11&locations=%5B%5B335403,4,%22Alppila,%20Helsinki%22%5D,%5B335081,4,%22Arabianranta,%20Helsinki%22%5D,%5B1644,4,%22Eira,%20Helsinki%22%5D,%5B335375,4,%22Etel%C3%A4-Haaga,%20Helsinki%22%5D,%5B1651,4,%22Etu-T%C3%B6%C3%B6l%C3%B6,%20Helsinki%22%5D,%5B1659,4,%22Hermanni,%20Helsinki%22%5D,%5B1681,4,%22Herttoniemi,%20Helsinki%22%5D,%5B6347825,4,%22It%C3%A4-Pasila,%20Helsinki%22%5D,%5B335110,4,%22It%C3%A4keskus,%20Helsinki%22%5D,%5B5695443,4,%22J%C3%A4tk%C3%A4saari,%20Helsinki%22%5D,%5B5695451,4,%22Kalasatama,%20Helsinki%22%5D,%5B1642,4,%22Kamppi,%20Helsinki%22%5D,%5B335093,4,%22Kannelm%C3%A4ki,%20Helsinki%22%5D,%5B5694725,4,%22Keilaniemi,%20Espoo%22%5D,%5B5695469,4,%22Kivihaka,%20Helsinki%22%5D,%5B1680,4,%22Kulosaari,%20Helsinki%22%5D,%5B1662,4,%22Kumpula,%20Helsinki%22%5D,%5B1663,4,%22K%C3%A4pyl%C3%A4,%20Helsinki%22%5D,%5B1656,4,%22Laakso,%20Helsinki%22%5D,%5B335086,4,%22Lassila,%20Helsinki%22%5D,%5B1669,4,%22Lauttasaari,%20Helsinki%22%5D,%5B814,4,%22Lepp%C3%A4vaara,%20Espoo%22%5D,%5B5695491,4,%22L%C3%A4nsi-Pasila,%20Helsinki%22%5D,%5B1676,4,%22Malmi,%20Helsinki%22%5D,%5B335094,4,%22Malminkartano,%20Helsinki%22%5D,%5B1653,4,%22Meilahti,%20Helsinki%22%5D,%5B1668,4,%22Munkkiniemi,%20Helsinki%22%5D,%5B880,4,%22M%C3%A4kkyl%C3%A4,%20Espoo%22%5D,%5B1666,4,%22Oulunkyl%C3%A4,%20Helsinki%22%5D,%5B335077,4,%22Pikku%20Huopalahti,%20Helsinki%22%5D,%5B1684,4,%22Pit%C3%A4j%C3%A4nm%C3%A4ki,%20Helsinki%22%5D,%5B5695519,4,%22Pohjois-Haaga,%20Helsinki%22%5D,%5B1675,4,%22Pukinm%C3%A4ki,%20Helsinki%22%5D,%5B335078,4,%22Ruoholahti,%20Helsinki%22%5D,%5B1654,4,%22Ruskeasuo,%20Helsinki%22%5D,%5B11820681,4,%22Vanha%20Ruskeasuo,%20Helsinki%22%5D,%5B75754,3,%22Siilitie,%20Helsinki%22%5D,%5B11820666,4,%22Sompasaari,%20Helsinki%22%5D,%5B1652,4,%22Taka-T%C3%B6%C3%B6l%C3%B6,%20Helsinki%22%5D,%5B1721,4,%22Tapanila,%20Helsinki%22%5D,%5B789,4,%22Tapiola,%20Espoo%22%5D,%5B1758,4,%22Tikkurila,%20Vantaa%22%5D,%5B1660,4,%22Vallila,%20Helsinki%22%5D%5D&cardType=100&habitationType%5B%5D=1&price%5Bmax%5D=250000&roomCount%5B%5D=2&roomCount%5B%5D=3&buildingType%5B%5D=512&buildingType%5B%5D=64&buildingType%5B%5D=2&buildingType%5B%5D=1&buildingType%5B%5D=256","Unikkotie 5 B 26
			
				TikkurilaVantaa
			
		
		
			

	
		
	


		
		
	
	
				
			
			
			
			
			
			
			
			
			
			
		

		
			
			
			
		
		
			

			

				
				
				

			
			
		
		
	
	
		
			217 030 €
			
			51,5 m²
			
		
		
			2h+kt+s
		
		

			Uudiskohde:Kerrostalo2021","https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/15257218","Unikkotie 5 B 26, 01300 Vantaa","Tikkurila","7905829","1 / 5","51,5 m²","1 026 m²","null","2h+kt+s","2","Erinomainen","null","Kyllä","null","null","null","null","null","Kyllä","Omistus","null","null","Osakehuoneisto","null","null","217 030 €","65 123 €","4 214,17 € / m2","null","257,52 € / kk","203,43 € / kk","460,95 € / kk","Asukasluvun mukaan.","null","186,95 € / kk","53 118 €","Kyllä","Asunto Oy Vantaan Tikkurilan Ensimmäinen","Kerrostalo","2021","53","null","3","null","Kyllä","null","null","null","null","Energialuokka: B2018","Kyllä","1 026 m²","Valinnainen vuokratontti","null","null","null","null","null","null","null","null","null","null","null","Arviolta 10/2021","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0","null","null"
